sku,qty
600219,3961.0
6079680,97.0
6083724,35.833
6083700,75.0
6083823,94.0
6065744,151.583
6071295,3.0
6060534,94.0
6021108,7.999
6060541,75.0
6079772,203.0
6079765,399.0
6049195,604.0
600381,153.0
6005894,232.666
6033538,146.0
600482,836.0
6048785,1120.583
6083458,373.0
6017118,579.0
600858,5541.166
600861,1538.0
600865,2983.0
6006457,640.0
6066482,758.0
601079,0
601258,156.0
6067137,401.0
6043834,364.0
6067229,566.125
6067236,794.625
6052430,618.0
6043841,1050.0
6067120,420.0
6070199,100.0
6054441,45.0
6054427,27.0
6054380,11.0
6054434,84.0
6054410,33.0
6054397,0.0
6003951,348.0
6004538,153.0
6083434,399.0
6083441,483.0
601583,314.0
6075774,320.0
601702,195.0
6073077,568.0
6064259,413.0
602066,383.0
602286,2082.0
602287,982.0
6083717,354.0
6048204,627.0
6002237,87.0
6048198,888.0
6055530,517.0
6079437,348.0
601020,2892.999
6079444,382.0
601050,1456.0
6079420,208.0
6026110,394.0
6026127,173.0
602635,1703.0
601023,302.0
600222,3095.0
6031220,64.0
6059972,178.0
600519,253.0
6081287,187.0
6081270,185.0
6081263,182.0
6081256,188.0
6081294,190.0
6000981,377.0
6002251,260.0
6002268,122.0
6082499,322.0
6084097,158.0
6083694,236.0
6084042,271.0
6002664,938.0
6002497,301.0
6002220,383.0
6083830,286.0
6003425,376.0
6002343,318.0
6004248,2117.0
6015534,277.0
6005689,1269.0
6001827,217.0
6001828,172.0
6016890,170.0
6083335,284.0
6084080,239.0
6075026,300.0
6075484,3.0
6084301,0.0
6084295,0.0
6045715,0.0
6037574,3.0
6084233,0.0
6084226,0.0
6084240,0.0
6075460,39.0
6084318,37.0
6084257,36.0
6084325,40.0
6084264,40.0
6084271,30.0
6084288,25.0
6084356,80.0
6084349,51.0
6084363,57.0
6084332,112.0
6082314,220.0
6006327,33.0
6008833,18.0
6002848,87.0
6008741,8.0
600516,22.291
6045784,156.0
6043056,3.0
6025816,600.0
6012373,3.0
6060602,200.0
6030063,7.0
6008758,7.0
601774,11.0
602112,13.0
6065881,10.0
6025038,240.0
6003234,37.0
6027803,15.0
6003739,20.0
6068271,13.0
6071271,264.0
6030018,19.0
6065843,228.0
6025823,228.0
6068257,216.0
6074043,18.0
601645,12.0
6037659,41.0
6072674,72.0
6036959,222.0
602109,27.0
6001261,0.0
6008765,3.0
6071127,90.0
6019396,3.0
6071110,93.0
6008840,4.0
6002701,21.0
6004750,108.0
6040390,0.0
6083267,18.5
6052522,10.0
6074036,6.0
6040352,9.0
6040376,17.0
6071264,3.0
6071240,8.0
6040406,5.0
6052515,5.0
6040369,2.0
6078157,2.0
6072483,0.0
6072575,24.0
6072537,6.0
6073893,0.0
6072551,6.0
6072490,6.0
6072506,30.0
6072568,78.0
6072599,74.0
6072544,33.0
6072513,24.0
6073886,0.0
6072520,90.0
6072476,30.0
6072582,53.0
6073589,330.0
602700,60.0
601198,123.0
601195,113.0
6069988,131.0
600394,95.0
6056858,80.0
6069971,278.0
6056902,443.0
6052393,265.0
6041946,268.0
602708,607.0
600921,119.0
600968,321.0
600974,335.0
600970,172.0
600975,329.0
600977,638.0
6048525,99.0
602694,85.0
6001018,108.0
602699,86.0
602757,14.0
6069537,299.0
6057855,264.0
602657,300.0
602660,267.0
602664,158.0
600072,163.0
602661,44.0
602659,47.0
6039530,9.0
601669,82.0
6072254,48.0
6000103,251.0
6080174,48.0
6058302,50.0
6029838,30.0
602304,18.0
6022099,32.0
6017125,40.0
6024291,40.0
6022082,28.0
600012,36.0
600067,44.0
601664,48.0
600647,31.0
601849,14.0
600804,40.0
601051,41.0
6084738,20.0
6012397,793.0
601850,29.0
601007,41.0
601620,80.0
6040345,20.0
6040338,19.0
6084530,6.0
6084554,5.0
6084547,4.0
6052508,29.0
6073541,28.0
602591,288.5
602724,397.0
602698,84.0
602658,281.0
6054199,24.0
6039660,338.0
6064792,5.0
602782,384.0
6084585,17.0
6051648,34.0
602611,1938.0
601667,269.0
6084578,40.0
6084608,12.0
6084615,0.0
601566,60.0
6080167,86.0
6070175,288.0
6084837,407.0
600868,1413.0
