Code	Count
600219	3193.0
6079680	143.0
6083724	29.833
6083700	41.0
6083823	144.0
6065744	105.0
6071295	0.0
6060534	75.0
6021108	0.0
6060541	33.0
6079772	178.0
6079765	384.0
6049195	597.0
600381	107.0
6005894	10.666
6033538	130.0
600482	1549.0
6048785	773.583
6083458	361.0
6017118	556.0
600858	3136.166
600861	528.0
600865	2323.0
6006457	688.0
6066482	186.0
601079	0
601258	58.0
6067137	0.0
6043834	799.0
6067229	320.125
6067236	392.875
6052430	3.58
6043841	540.249
6067120	159.0
6070199	83.0
6054441	4.0
6054427	59.0
6054380	42.0
6054434	36.0
6054410	33.0
6054397	49.0
6003951	329.0
6004538	126.0
6083434	276.0
6083441	408.0
601583	241.0
6075774	237.0
601702	148.0
6073077	517.0
6064259	408.0
602066	345.0
602286	1730.0
602287	740.0
6083717	331.0
6048204	605.0
6002237	51.0
6048198	672.0
6055530	369.333
6079437	139.0
601020	1629.999
6079444	123.0
601050	961.0
6079420	208.0
6026110	361.0
6026127	150.0
602635	0
601023	48.583
600222	2053.5
6031220	0.0
6059972	93.0
600519	202.0
6081287	167.0
6081270	159.0
6081263	151.0
6081256	169.0
6081294	169.0
6000981	162.0
6002251	87.0
6002268	6.0
6082499	259.0
6084097	106.0
6083694	221.0
6084042	104.0
6002664	393.0
6002497	115.0
6002220	0
6083830	48.0
6003425	0.0
6002343	202.0
6004248	0
6015534	177.0
6005689	0.0
6001827	0.0
6001828	0.0
6016890	40.0
6083335	135.0
6084080	183.0
6075026	116.0
6075484	0
6084301	0.0
6084295	0.0
6045715	0.0
6037574	3.0
6084233	0.0
6084226	0.0
6084240	0.0
6075460	23.0
6084318	37.0
6084257	32.0
6084325	39.0
6084264	24.0
6084271	24.0
6084288	1.0
6084356	67.0
6084349	36.0
6084363	48.0
6084332	102.0
6082314	108.0
6006327	5.0
6008833	0.0
6002848	31.0
6008741	6.0
600516	6.291
6045784	36.0
6043056	3.0
6025816	204.0
6012373	1.0
6060602	80.0
6030063	2.0
6008758	4.0
601774	0.0
602112	4.0
6065881	10.0
6025038	129.0
6003234	4.0
6027803	1.0
6003739	20.0
6068271	2.0
6071271	12.0
6030018	16.0
6065843	204.0
6025823	48.0
6068257	65.0
6074043	14.0
601645	0.0
6037659	20.0
6072674	0.0
6036959	28.0
602109	6.0
6001261	0.0
6008765	3.0
6071127	45.0
6019396	3.0
6071110	15.0
6008840	1.0
6002701	0.0
6004750	72.0
6040390	0.0
6083267	18.5
6052522	10.0
6074036	6.0
6040352	10.0
6040376	18.0
6071264	3.0
6071240	8.0
6040406	5.0
6052515	5.0
6040369	3.0
6078157	2.0
6072483	1.0
6072575	12.0
6072537	6.0
6073893	0.0
6072551	7.0
6072490	6.0
6072506	12.0
6072568	54.0
6072599	39.0
6072544	12.0
6072513	24.0
6073886	0.0
6072520	66.0
6072476	12.0
6072582	29.0
6073589	47.0
602700	0.0
601198	0.0
601195	0
6069988	29.0
600394	0.0
6056858	0.0
6069971	28.0
6056902	0.0
6052393	165.0
6041946	201.0
602708	0.0
600921	0.0
600968	37.0
600974	112.0
600970	53.0
600975	12.0
600977	0.0
6048525	50.0
602694	0.0
6001018	62.0
602699	3.0
602757	0.0
6069537	0.0
6057855	156.0
602657	50.0
602660	0.0
602664	81.0
600072	99.0
602661	9.0
602659	10.0
6039530	0.0
601669	20.0
6072254	4.0
6000103	97.0
6080174	26.0
6058302	18.0
6029838	25.0
602304	3.0
6022099	0.0
6017125	0.0
6024291	0.0
6022082	0.0
600012	0.0
600067	0.0
601664	0.0
600647	0.0
601849	4.0
600804	7.0
601051	0
6084738	20.0
6012397	252.0
601850	8.0
601007	6.0
601620	36.0
6040345	20.0
6040338	19.0
6084530	6.0
6084554	5.0
6084547	4.0
6052508	29.0
6073541	0
602591	0
602724	238.0
602698	0.0
602658	230.0
6054199	3.0
6039660	225.0
6064792	4.0
602782	212.0
6084585	0.0
6051648	30.0
602611	0
601667	0.0
6084578	5.0
6084608	0.0
6084615	0.0
601566	39.0
6080167	0
6070175	232.0
6084837	359.0
600868	794.0
6002121	48.0
6083366	0.0
6083373	6.0
6039011	14.0
6060473	1.0
6080266	40.0
600334	14.0
6080273	28.0
600253	25.0
602637	2186.0
6048136	101.0
6003418	27.0
6075156	37.0
602077	182.0
602346	29.0
602079	37.0
6070786	0.0
6061395	0.0
6052843	107.0
6022150	121.0
601276	106.0
6011932	24.0
601202	187.0
6080884	12.0
6080846	0.0
6085148	3.0
6080891	0.0
6080839	0.0
6003319	0.0
6080457	8.0
6080464	19.0
6080471	22.0
6085025	3.0
6075538	8.0
6022631	18.0
6055813	91.0
6007720	0.0
6011598	188.0
602616	146.0
6060626	3.0
6074746	3.0
6023065	3.0
6085032	0.0
6085049	3.0
6084851	37.0
6053765	0.0
6069858	12.0
600337	12.0
600336	6.0
600335	7.0
600338	3.0
600168	8.0
6058807	0.0
601292	53.0
601294	179.0
600254	11.0
601275	0
601387	46.0
602786	102.0
602763	170.0
602765	0
6013363	14.0
602618	76.0
602620	92.0
6085056	61.0
602192	120.0
602038	45.0
602051	0.0
6021146	414.0
602041	213.0
602040	118.0
602045	105.0
602047	59.0
602058	96.0
602055	29.0
602044	140.0
602049	288.0
602048	0.0
602061	0.0
602043	17.0
602053	46.0
602042	65.0
602059	0
602052	23.0
6029692	62.0
6051945	0.0
6051938	0
6075545	0.0
6002176	0
600653	0.0
6083021	11.0
6083014	2.0
6080907	0.0
6085087	10.0
6080822	0.0
6033989	24.0
6083199	18.0
6070779	8.0
6083175	13.0
6085223	44.0
6009243	26.0
6085216	21.0
6079949	17.0
6085247	70.0
6085230	25.0
6075033	0.0
6075057	16.0
602278	51.0
6083182	15.917
6045197	48.0
6085063	30.0
6060633	12.0
6076627	4.0
601138	404.0
6048877	19.0
6043636	17.0
6032159	0
6055837	0.0
6064921	11.0
6064945	4.0
601111	20.0
601109	12.0
601110	19.0
6024420	0.0
6064808	6.0
602090	0.0
6073534	27.0
600084	40.0
6056780	59.0
6010621	0.0
601207	40.0
6064907	0.0
6064891	0.0
6083052	21.0
6084684	138.0
600615	0.0
6065133	286.0
6064778	300.0
6081997	344.0
6043643	168.0
6049072	5.0
601228	1.0
601225	28.166
6077433	42.0
6077419	19.0
6077426	37.0
6077556	0.0
6077563	67.0
6079093	0.0
6079192	30.0
6080044	10.0
6002596	6.0
600017	48.0
6025137	425.0
6068455	4.0
6077488	221.0
6077440	299.0
6046965	9.0
6043704	33.0
6061166	42.0
6008413	12.0
6062736	300.0
6060831	11.0
6047986	74.0
6027896	5.0
6024321	3.0
6010645	3.0
6010638	4.0
6016609	45.0
6075187	5664.0
6003630	0.0
602088	0.0
6024437	0
6061548	417.0
6010461	1.0
6077525	12.0
6077532	64.0
6084486	348.0
6084592	67.0
6003593	12.0
6006761	0
6007713	0.0
602469	182.0
6024413	2004.0
6063740	20.0
6063344	19.0
6075019	48.0
6080815	18.0
6079468	12.0
6049980	1.0
6080532	101.0
6080549	101.0
