sku,qty
600219,3651.0
6079680,71.0
6083724,34.833
6083700,64.0
6083823,93.0
6065744,95.583
6071295,0.0
6060534,90.0
6021108,0
6060541,59.0
6079772,178.0
6079765,391.0
6049195,602.0
600381,140.0
6005894,132.666
6033538,140.0
600482,356.0
6048785,990.583
6083458,362.0
6017118,569.0
600858,5090.166
600861,1233.0
600865,2803.0
6006457,610.0
6066482,483.0
601079,0
601258,112.0
6067137,278.0
6043834,327.0
6067229,512.125
6067236,687.625
6052430,447.58
6043841,684.0
6067120,239.0
6070199,98.0
6054441,10.0
6054427,0
6054380,0
6054434,56.0
6054410,0
6054397,0.0
6003951,342.0
6004538,142.0
6083434,276.0
6083441,421.0
601583,283.0
6075774,295.0
601702,195.0
6073077,568.0
6064259,411.0
602066,375.0
602286,1946.0
602287,869.0
6083717,348.0
6048204,613.0
6002237,58.0
6048198,777.0
6055530,461.0
6079437,348.0
601020,2383.999
6079444,346.0
601050,1383.0
6079420,208.0
6026110,385.0
6026127,169.0
602635,428.0
601023,292.583
600222,2776.0
6031220,0.0
6059972,178.0
600519,135.0
6081287,186.0
6081270,183.0
6081263,179.0
6081256,186.0
6081294,187.0
6000981,237.0
6002251,192.0
6002268,0
6082499,289.0
6084097,146.0
6083694,221.0
6084042,271.0
6002664,418.0
6002497,276.0
6002220,335.0
6083830,223.0
6003425,266.0
6002343,314.0
6004248,871.0
6015534,213.0
6005689,673.0
6001827,105.0
6001828,0.0
6016890,135.0
6083335,278.0
6084080,183.0
6075026,216.0
6075484,0
6084301,0.0
6084295,0.0
6045715,0.0
6037574,3.0
6084233,0.0
6084226,0.0
6084240,0.0
6075460,25.0
6084318,37.0
6084257,32.0
6084325,39.0
6084264,24.0
6084271,24.0
6084288,1.0
6084356,69.0
6084349,37.0
6084363,49.0
6084332,103.0
6082314,97.0
6006327,5.0
6008833,0
6002848,50.0
6008741,6.0
600516,16.291
6045784,84.0
6043056,3.0
6025816,456.0
6012373,1.0
6060602,180.0
6030063,5.0
6008758,4.0
601774,6.0
602112,7.0
6065881,10.0
6025038,180.0
6003234,26.0
6027803,9.0
6003739,20.0
6068271,10.0
6071271,144.0
6030018,19.0
6065843,204.0
6025823,120.0
6068257,156.0
6074043,15.0
601645,0.0
6037659,31.0
6072674,60.0
6036959,121.0
602109,18.0
6001261,0.0
6008765,3.0
6071127,50.0
6019396,3.0
6071110,15.0
6008840,4.0
6002701,9.0
6004750,72.0
6040390,0.0
6083267,18.5
6052522,10.0
6074036,6.0
6040352,10.0
6040376,18.0
6071264,3.0
6071240,8.0
6040406,5.0
6052515,5.0
6040369,3.0
6078157,2.0
6072483,1.0
6072575,18.0
6072537,6.0
6073893,0.0
6072551,7.0
6072490,6.0
6072506,24.0
6072568,72.0
6072599,69.0
6072544,27.0
6072513,24.0
6073886,0.0
6072520,78.0
